1,1,0
57189079094806627650824861858378146021149506149436891194164287517937705326367,34536598452146354929543926555659088975297675301706568374171366445838822245007,7416239829547360889356222859750890741435674821044502541752453843870931298912
4260341307152005027990897471613498159529508032027019695039972016830406465013,38039613566437157298762048778492922966162192347258100170645563681557764317146,37212821476885090318169840757450114426928761720923413049609690696141079877932
1920437351654441491328923400578906487858484200143259304634700723496249660895,10509756143842280829456228486244065250273496221980663664120723674662816920087,13644367016505383228042501239531484558188262486820810653715931704417187658180
43328859403678867676580323211482802119177361383107571010497177849988669800735,1933441096441760791921758540836702123894328285840785257454519359800611568548,5671772174844727770805091886774173513579743567283784637948531349368534999391
6680206411959061863676080984216874103964596167004949448306088116551781287474,53376836426348639033000903301337261254711946920575455314628231653367698108697,4280462054389753808027464703834783172217452072761940036527260392982369547703
25709382188834201158042758649385778162624244966559169637756348869743328477082,6368463294131004372566106423105835899078104689384908072490473595142706534505,5532757649002955383024935663336613785153897363334906297943495043154023228917
48633324698144597478318365063063477648832406005854779761287765076903355813964,4463359089211023200011935387344831635776865114888991275224619609653475017152,41284908860636864387047448792214499083068114878112843405751567246984507058303
4334368048099466764582855200861437678792814414118888594400447134108439263298,29222400288985927905945942356844302013198531570181628784094087170566578436156,47820438092621131170832833311936444642426458209436307341138880442570054521028
43126937595643768907673144912563339028844086169812522507421943042977123811103,44707853998552057709982186767536835255242395095853353168354018836992003410223,46079942132860439662316931452157557984694671496866061630841041627144886710790
25781649855450161586963001142357635606437297236211604407619437209072834728453,52185349516169559543210613142420081069831086142334366354611381552373711861525,721004174391351985214853583676190407147542306572952608537107770925968510950
42839477857039138493033106185117617898480427451580624485490464774466908542776,52885255780730384327548206155984560253969841069607468282377223726296771369317,30253128305491063374768968320885552572087289562367484026194959767511003859595
